Num Charmaps: 1
Charmap 0: FT_ENCODING_UNICODE ID: 3,1
  -> Found PUA support in Charmap 0
Reference font has 10 faces.
Selected Reference Face Index 0 (Supports '中')
Loaded 362 PUA codes.
Pre-rendering reference characters...
Generating bitmaps for 20902 reference characters...
  Generated 2000/20902...
  Generated 4000/20902...
  Generated 6000/20902...
  Generated 8000/20902...
  Generated 10000/20902...
  Generated 12000/20902...
  Generated 14000/20902...
  Generated 16000/20902...
  Generated 18000/20902...
  Generated 20000/20902...
Generated 20902 reference bitmaps.
Solving...
Code 0xe53d -> 前 (Error: 7205.26875)
Code 0xe53e -> 亳 (Error: 10966.239784946236)
Code 0xe53f -> 丨 (Error: 9922.28125)
Code 0xe540 -> 卩 (Error: 9207.854901960784)
Code 0xe541 -> 目 (Error: 3652.3291536050156)
Code 0xe542 -> 太 (Error: 5186.926411290323)
Code 0xe543 -> 厂 (Error: 11070.939357907253)
Code 0xe544 -> 旷 (Error: 11048.310344827587)
Code 0xe545 -> 起 (Error: 7419.90625)
Code 0xe546 -> 堎 (Error: 7301.322580645161)
Code 0xe547 -> 她 (Error: 5973.463541666667)
Code 0xe548 -> 乜 (Error: 7719.996551724138)
Code 0xe549 -> 人 (Error: 12146.957730812013)
Code 0xe54a -> 用 (Error: 1856.5603448275863)
Code 0xe54b -> 穴 (Error: 8387.5625)
Code 0xe54c -> 孑 (Error: 4818.042528735632)
Code 0xe54d -> 莱 (Error: 6817.053125)
Code 0xe54e -> 毎 (Error: 11565.452083333334)
Code 0xe54f -> 理 (Error: 2638.5809523809526)
Code 0xe550 -> 便 (Error: 1454.665972944849)
Code 0xe551 -> 四 (Error: 5111.509259259259)
Code 0xe552 -> 数 (Error: 10581.568548387097)
Code 0xe553 -> 期 (Error: 1865.0033370411568)
Code 0xe554 -> 中 (Error: 5956.210336538462)
Code 0xe555 -> 厂 (Error: 9900.985731272294)
Code 0xe556 -> 处 (Error: 7719.2875)
Code 0xe557 -> 仹 (Error: 8783.68262226847)
Code 0xe558 -> 乁 (Error: 9249.054750402576)
Code 0xe559 -> 涼 (Error: 9659.349462365592)
Code 0xe55a -> 们 (Error: 2354.084051724138)
Code 0xe55b -> 仠 (Error: 5625.29448491155)
Decryption Map:
0xe3e8:卩
0xe3e9:在
0xe3ea:主
0xe3eb:秲
0xe3ec:宷
0xe3ed:军
0xe3ee:黙
0xe3ef:麦
0xe3f0:场
0xe3f1:乍
0xe3f2:要
0xe3f3:只
0xe3f4:乀
0xe3f5:和
0xe3f7:厂
0xe3f8:别
0xe3f9:还
0xe3fa:厂
0xe3fb:现
